tweet_id,tweet_date,tweet_source,tweet_text,tweet_user,tweet_favorites,tweet_retweets,
1.27E+18,19-06-2020 14:20,Twitter for iPad,"RT @iamrightwing_: #BoycottChina with a Twist 😜

#chinaindiaborder #ChineseProductsInDustbin #China #IndiaStandWithArmyAndModi #IndianArmy…",ricky93804930,0,6,
,,,,,,,
1.27E+18,19-06-2020 14:19,Twitter for Android,"RT @PayalNeve: #ChineseProductsInDustbin   Reminder for all of us, half an hour to go, do participate in this trend as we know #indiavschin…",SanilTabura,0,141,
,,,,,,,
1.27E+18,19-06-2020 14:18,Twitter for Android,"RT @iamrightwing_: #BoycottChina with a Twist 😜

#chinaindiaborder #ChineseProductsInDustbin #China #IndiaStandWithArmyAndModi #IndianArmy…",wdamidoinhere,0,6,
,,,,,,,
1.27E+18,19-06-2020 14:09,Twitter Web App,"RT @iamrightwing_: #BoycottChina with a Twist 😜

#chinaindiaborder #ChineseProductsInDustbin #China #IndiaStandWithArmyAndModi #IndianArmy…",GaneshP88926847,0,6,
,,,,,,,
1.27E+18,19-06-2020 14:09,Twitter Web App,"India bags UNSC seat | Will it change the India – China border issue??

Click here for full episode:… https://t.co/cxhzVdT5Ye",cauverytv,0,0,
,,,,,,,
1.27E+18,19-06-2020 14:06,Twitter for Android,"RT @iamrightwing_: #BoycottChina with a Twist 😜

#chinaindiaborder #ChineseProductsInDustbin #China #IndiaStandWithArmyAndModi #IndianArmy…",Rajesh55494176,0,6,
,,,,,,,
1.27E+18,19-06-2020 14:04,Twitter for iPhone,Tech support might go on war with tech #indiavschina,jaynil_thacker,1,0,
,,,,,,,
1.27E+18,19-06-2020 14:04,Twitter for Android,"RT @iamrightwing_: #BoycottChina with a Twist 😜

#chinaindiaborder #ChineseProductsInDustbin #China #IndiaStandWithArmyAndModi #IndianArmy…",iamrightwing_,0,6,
,,,,,,,
1.27E+18,19-06-2020 14:04,Twitter for Android,"#BoycottChina with a Twist 😜

#chinaindiaborder #ChineseProductsInDustbin #China #IndiaStandWithArmyAndModi… https://t.co/1nlYGrqp2w",iamrightwing_,7,6,
,,,,,,,
1.27E+18,19-06-2020 14:03,Twitter for Android,Countdown Begins! #IndiavsChina,iPraksy,7,1,
,,,,,,,
1.27E+18,19-06-2020 13:48,Twitter for Android,"(To make a short sharp rap)

India and china fight✊
At night🌑
It's not right✅
Please don't fight👊

Salute to your I… https://t.co/YoWL3CuIZ8",realsubhamP,0,0,
,,,,,,,
1.27E+18,19-06-2020 13:28,Twitter for Android,"All Party meeting starts with respect to our Army. 

#LadakhBorder #IndiaChinaTension #YSJagan #NarendraModi… https://t.co/wilgcjWMK6",RiseofYSJagan,2,0,
,,,,,,,
1.27E+18,19-06-2020 13:22,Twitter for Android,"We are proud of our army 🙏🏻💪🏼🔥
@adgpi 

#IndiaStandWithArmyAndModi #IndiaChinaBorderClash #indiavschina… https://t.co/DolidVPFbH",anuragsh10,2,0,
,,,,,,,
1.27E+18,19-06-2020 13:09,Twitter for Android,"RT @glanost7: (3). it is a greeting from HK, we have a experience on boycotting MIC product, we have a list of brand which is MIC and MIC-f…",HarshPatel_977,0,2,
,,,,,,,
1.27E+18,19-06-2020 13:03,Twitter for Android,"RT @playgiarist: Emotional decisions will lead to our own destruction. 
 https://t.co/IksJkNLNyn

#boycottchineseproducts #indiavschina #la…",_vaibhav_13,0,1,
,,,,,,,
1.27E+18,19-06-2020 12:53,Twitter for Android,"Why Chinese Apps are Harmful for INDIA

Link https://t.co/pc25WVK7cQ

#indiavschina #RemoveChinaApps… https://t.co/fEIVDopl5n",techcookies_,2,0,
,,,,,,,
1.27E+18,19-06-2020 12:51,Twitter for iPhone,"India will flex its muscles wisely and tactically soon. Unwise, knee jerk reactions will provoke irresponsible deci… https://t.co/TeMEvBvQYv",IndranilKhan,10,0,"Place(_api=<tweepy.api.API object at 0x0000015C69B71048>, id='70957ac3123b3249', url='https://api.twitter.com/1.1/geo/id/70957ac3123b3249.json', place_type='city', name='Kolkata', full_name='Kolkata, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000015C69B71048>, type='Polygon', coordinates=[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]), attributes={})"
,,,,,,,
1.27E+18,19-06-2020 12:48,Twitter for Android,Is this a solution? I dont think so #indiavschina https://t.co/jOXwu7U38S,SagarCfg,0,0,
,,,,,,,
1.27E+18,19-06-2020 12:33,Twitter Web App,"Images shot a day after the clash showed an increase in Chinese activity from a week earlier.
#indiavschina #border… https://t.co/g29sGSxfYo",TheRoundCircle1,1,0,
,,,,,,,
1.27E+18,19-06-2020 12:19,Twitter Web App,Bank Nifty Market Analysis for 22nd Jun 2020 Monday Option Trading Strategy #Nifty50 #BankNifty #optiontrading… https://t.co/3Ayvvce0gC,LEARNTINVEST,0,0,
,,,,,,,
1.27E+18,19-06-2020 12:02,Twitter for Android,"RT @vinayak_jain: They boast about their machines.

We speak of the man behind the machine.

#IndiaVsChina",anmol_mussoorie,0,21,
,,,,,,,
1.27E+18,19-06-2020 11:59,Twitter for iPhone,"If 10 of its soldiers freed by China, then why Indian military and govt was in denial since this conflict began? Ho… https://t.co/j533JZQsts",AK47319026,0,0,
,,,,,,,
1.27E+18,19-06-2020 11:39,Twitter for Android,#Oneplus8pro has been sold out within few minutes amid #BoycottChineseProducts trend. This is called fanboyism. Peo… https://t.co/LnAItVnBRe,JayBorad4,7,0,
,,,,,,,
